Anyo,Mes,usuarios
1,1,384
1,2,713
1,3,1082
1,4,1411
1,5,1819
1,6,2205
1,7,2594
1,8,3050
1,9,3483
1,10,3880
1,11,4507
1,12,5000
2,1,5475
2,2,5831
2,3,6233
2,4,6574
2,5,6984
2,6,7392
2,7,7741
2,8,8179
2,9,8542
2,10,8940
2,11,9653
2,12,10214
3,1,10670
3,2,11006
3,3,11368
3,4,11787
3,5,12247
3,6,12696
3,7,13113
3,8,13601
3,9,14066
3,10,14546
3,11,15527
3,12,16379
4,1,16997
4,2,17448
4,3,17877
4,4,18299
4,5,18936
4,6,19643
4,7,20236
4,8,20840
4,9,21512
4,10,22153
4,11,23350
4,12,24163
5,1,24817
5,2,25271
5,3,25696
5,4,26163
5,5,26826
5,6,27564
5,7,28171
5,8,28791
5,9,29479
5,10,30161
5,11,31535
5,12,32527
6,1,33249
6,2,33738
6,3,34177
6,4,34679
6,5,35415
6,6,36253
6,7,36928
6,8,37597
6,9,38366
6,10,39129
6,11,40700
6,12,41817
7,1,42607
7,2,43130
7,3,43583
7,4,44121
7,5,44931
7,6,45870
7,7,46613
7,8,47331
7,9,48182
7,10,49027
7,11,50796
7,12,52038
